case_id,alert_id,case_outcome
CASE0,ALT973,Normal
CASE1,ALT368,Normal
CASE2,ALT4131,False Positive
CASE3,ALT4162,Confirmed Fraud
CASE4,ALT6198,Confirmed Fraud
CASE5,ALT2230,Monitoring
CASE6,ALT6712,Normal
CASE7,ALT872,Normal
CASE8,ALT1026,Confirmed Fraud
CASE9,ALT1206,Normal
CASE10,ALT4139,Confirmed Fraud
CASE11,ALT2317,Confirmed Fraud
CASE12,ALT1938,Confirmed Fraud
CASE13,ALT486,Confirmed Fraud
CASE14,ALT1813,Confirmed Fraud
CASE15,ALT4538,Normal
CASE16,ALT3233,Normal
CASE17,ALT535,Normal
CASE18,ALT365,Confirmed Fraud
CASE19,ALT6861,Confirmed Fraud
CASE20,ALT7925,Confirmed Fraud
CASE21,ALT2137,Monitoring
CASE22,ALT7698,False Negative
CASE23,ALT7615,Monitoring
CASE24,ALT2683,Normal
CASE25,ALT7920,Normal
CASE26,ALT2459,Confirmed Fraud
CASE27,ALT6413,Confirmed Fraud
CASE28,ALT4845,Normal
CASE29,ALT2740,Normal
CASE30,ALT5618,Monitoring
CASE31,ALT6597,Normal
CASE32,ALT475,Normal
CASE33,ALT2082,False Negative
CASE34,ALT21,Confirmed Fraud
CASE35,ALT7479,Confirmed Fraud
CASE36,ALT7518,Confirmed Fraud
CASE37,ALT2673,Confirmed Fraud
CASE38,ALT6099,Confirmed Fraud
CASE39,ALT6304,Confirmed Fraud
CASE40,ALT7143,Monitoring
CASE41,ALT5015,Confirmed Fraud
CASE42,ALT5828,Confirmed Fraud
CASE43,ALT1900,Monitoring
CASE44,ALT7355,Normal
CASE45,ALT708,Monitoring
CASE46,ALT6294,Normal
CASE47,ALT5982,Normal
CASE48,ALT6903,Confirmed Fraud
CASE49,ALT2389,Confirmed Fraud
CASE50,ALT5933,Confirmed Fraud
CASE51,ALT3361,False Positive
CASE52,ALT3211,Confirmed Fraud
CASE53,ALT5042,Confirmed Fraud
CASE54,ALT5843,Confirmed Fraud
CASE55,ALT1093,False Positive
CASE56,ALT4607,Confirmed Fraud
CASE57,ALT5074,Confirmed Fraud
CASE58,ALT4831,Confirmed Fraud
CASE59,ALT4522,Monitoring
CASE60,ALT2798,Normal
CASE61,ALT3084,Normal
CASE62,ALT1513,Normal
CASE63,ALT82,Monitoring
CASE64,ALT6101,False Positive
CASE65,ALT2632,Normal
CASE66,ALT3382,Normal
CASE67,ALT5764,Confirmed Fraud
CASE68,ALT7837,Confirmed Fraud
CASE69,ALT1025,False Negative
CASE70,ALT2087,Confirmed Fraud
CASE71,ALT3329,Confirmed Fraud
CASE72,ALT2096,Confirmed Fraud
CASE73,ALT4528,Confirmed Fraud
CASE74,ALT4868,Normal
CASE75,ALT3310,Confirmed Fraud
CASE76,ALT5405,Monitoring
CASE77,ALT3142,Confirmed Fraud
CASE78,ALT1656,False Positive
CASE79,ALT4616,Confirmed Fraud
CASE80,ALT3471,Confirmed Fraud
CASE81,ALT3104,Normal
CASE82,ALT335,Normal
CASE83,ALT2900,Normal
CASE84,ALT5190,Confirmed Fraud
CASE85,ALT7284,Confirmed Fraud
CASE86,ALT6284,Normal
CASE87,ALT2198,Confirmed Fraud
CASE88,ALT7680,Normal
CASE89,ALT1860,Confirmed Fraud
CASE90,ALT5560,Confirmed Fraud
CASE91,ALT6735,False Positive
CASE92,ALT4854,Confirmed Fraud
CASE93,ALT4543,Confirmed Fraud
CASE94,ALT2706,Normal
CASE95,ALT4957,Confirmed Fraud
CASE96,ALT6673,Monitoring
CASE97,ALT7313,False Negative
CASE98,ALT3690,Monitoring
CASE99,ALT5823,Normal
CASE100,ALT1029,Confirmed Fraud
CASE101,ALT7669,Confirmed Fraud
CASE102,ALT7771,Confirmed Fraud
CASE103,ALT6169,Confirmed Fraud
CASE104,ALT5325,Normal
CASE105,ALT4973,Normal
CASE106,ALT3422,Monitoring
CASE107,ALT3081,Confirmed Fraud
CASE108,ALT6842,Confirmed Fraud
CASE109,ALT6371,Confirmed Fraud
CASE110,ALT1892,Confirmed Fraud
CASE111,ALT3512,Monitoring
CASE112,ALT4338,Confirmed Fraud
CASE113,ALT5915,Confirmed Fraud
CASE114,ALT4998,Confirmed Fraud
CASE115,ALT7454,Normal
CASE116,ALT976,Normal
CASE117,ALT3459,Normal
CASE118,ALT2895,Confirmed Fraud
CASE119,ALT4290,Normal
CASE120,ALT6845,Confirmed Fraud
CASE121,ALT2461,Confirmed Fraud
CASE122,ALT6395,Confirmed Fraud
CASE123,ALT6924,False Positive
CASE124,ALT7878,False Negative
CASE125,ALT3765,Confirmed Fraud
CASE126,ALT2809,Confirmed Fraud
CASE127,ALT1017,Confirmed Fraud
CASE128,ALT3689,Normal
CASE129,ALT3720,Confirmed Fraud
CASE130,ALT4897,Confirmed Fraud
CASE131,ALT4513,Monitoring
CASE132,ALT3510,Normal
CASE133,ALT7343,Monitoring
CASE134,ALT1613,Normal
CASE135,ALT2217,Normal
CASE136,ALT6907,False Negative
CASE137,ALT3151,Confirmed Fraud
CASE138,ALT115,Confirmed Fraud
CASE139,ALT1701,Confirmed Fraud
CASE140,ALT7032,Confirmed Fraud
CASE141,ALT4238,Confirmed Fraud
CASE142,ALT6551,Confirmed Fraud
CASE143,ALT124,Confirmed Fraud
CASE144,ALT6245,Normal
CASE145,ALT6362,Confirmed Fraud
CASE146,ALT4196,Confirmed Fraud
CASE147,ALT3026,Normal
CASE148,ALT6619,Confirmed Fraud
CASE149,ALT4342,Confirmed Fraud
CASE150,ALT4370,Confirmed Fraud
CASE151,ALT4679,Normal
CASE152,ALT7500,Normal
CASE153,ALT5837,Confirmed Fraud
CASE154,ALT721,Confirmed Fraud
CASE155,ALT1368,Normal
CASE156,ALT7429,Monitoring
CASE157,ALT6040,Confirmed Fraud
CASE158,ALT2046,Confirmed Fraud
CASE159,ALT1556,Confirmed Fraud
CASE160,ALT6472,Normal
CASE161,ALT1629,Normal
CASE162,ALT2740,Monitoring
CASE163,ALT7469,Confirmed Fraud
CASE164,ALT7298,Confirmed Fraud
CASE165,ALT7073,Confirmed Fraud
CASE166,ALT7253,Confirmed Fraud
CASE167,ALT1531,Normal
CASE168,ALT3002,Confirmed Fraud
CASE169,ALT4288,Confirmed Fraud
CASE170,ALT6302,Confirmed Fraud
CASE171,ALT5510,Normal
CASE172,ALT1540,False Negative
CASE173,ALT2088,Confirmed Fraud
CASE174,ALT585,Confirmed Fraud
CASE175,ALT2563,Normal
CASE176,ALT5242,False Negative
CASE177,ALT2356,False Negative
CASE178,ALT2608,Normal
CASE179,ALT5454,Normal
CASE180,ALT7913,Confirmed Fraud
CASE181,ALT6276,Normal
CASE182,ALT3044,Monitoring
CASE183,ALT593,False Positive
CASE184,ALT4323,Confirmed Fraud
CASE185,ALT7593,Confirmed Fraud
CASE186,ALT7976,Monitoring
CASE187,ALT725,Confirmed Fraud
CASE188,ALT2308,False Negative
CASE189,ALT5786,Confirmed Fraud
CASE190,ALT4627,False Positive
CASE191,ALT5521,False Positive
CASE192,ALT3403,Normal
CASE193,ALT7912,Confirmed Fraud
CASE194,ALT5854,Confirmed Fraud
CASE195,ALT3685,Confirmed Fraud
CASE196,ALT5573,Confirmed Fraud
CASE197,ALT5634,Confirmed Fraud
CASE198,ALT2757,Normal
CASE199,ALT574,Confirmed Fraud
CASE200,ALT2992,Normal
CASE201,ALT3715,Normal
CASE202,ALT3697,False Positive
CASE203,ALT6564,Confirmed Fraud
CASE204,ALT4304,Normal
CASE205,ALT7702,Confirmed Fraud
CASE206,ALT3669,Confirmed Fraud
CASE207,ALT7596,Confirmed Fraud
CASE208,ALT5039,Monitoring
CASE209,ALT7442,Normal
CASE210,ALT4465,Monitoring
CASE211,ALT7319,Monitoring
CASE212,ALT7482,False Positive
CASE213,ALT4163,Normal
CASE214,ALT5161,Normal
CASE215,ALT5649,Confirmed Fraud
CASE216,ALT4308,Normal
CASE217,ALT6315,Normal
CASE218,ALT7606,Confirmed Fraud
CASE219,ALT19,Confirmed Fraud
CASE220,ALT605,Confirmed Fraud
CASE221,ALT3958,Confirmed Fraud
CASE222,ALT3788,Confirmed Fraud
CASE223,ALT752,False Negative
CASE224,ALT1474,Confirmed Fraud
CASE225,ALT4424,Confirmed Fraud
CASE226,ALT7150,False Positive
CASE227,ALT5378,False Positive
CASE228,ALT7319,Confirmed Fraud
CASE229,ALT4742,Normal
CASE230,ALT2943,Confirmed Fraud
CASE231,ALT7171,Confirmed Fraud
CASE232,ALT2873,Normal
CASE233,ALT6756,Monitoring
CASE234,ALT2976,Confirmed Fraud
CASE235,ALT2433,False Negative
CASE236,ALT4633,Confirmed Fraud
CASE237,ALT2537,Confirmed Fraud
CASE238,ALT1851,Normal
CASE239,ALT5234,Confirmed Fraud
CASE240,ALT401,Confirmed Fraud
CASE241,ALT4122,Normal
CASE242,ALT4596,Confirmed Fraud
CASE243,ALT1197,Normal
CASE244,ALT2872,Normal
CASE245,ALT4857,Monitoring
CASE246,ALT3992,Monitoring
CASE247,ALT2179,Confirmed Fraud
CASE248,ALT2829,Normal
CASE249,ALT2848,Confirmed Fraud
CASE250,ALT1989,Confirmed Fraud
CASE251,ALT471,Confirmed Fraud
CASE252,ALT692,Normal
CASE253,ALT3308,Confirmed Fraud
CASE254,ALT1681,Confirmed Fraud
CASE255,ALT972,Confirmed Fraud
CASE256,ALT7688,Confirmed Fraud
CASE257,ALT5736,Monitoring
CASE258,ALT4822,Confirmed Fraud
CASE259,ALT4964,Normal
CASE260,ALT2817,Normal
CASE261,ALT5107,Confirmed Fraud
CASE262,ALT1099,Confirmed Fraud
CASE263,ALT4132,Confirmed Fraud
CASE264,ALT1539,Normal
CASE265,ALT563,Normal
CASE266,ALT2811,False Positive
CASE267,ALT3676,Normal
CASE268,ALT919,Confirmed Fraud
CASE269,ALT7088,Monitoring
CASE270,ALT6450,Normal
CASE271,ALT1025,Confirmed Fraud
CASE272,ALT6421,Confirmed Fraud
CASE273,ALT5927,Confirmed Fraud
CASE274,ALT3901,Normal
CASE275,ALT7539,False Positive
CASE276,ALT7388,Confirmed Fraud
CASE277,ALT245,Normal
CASE278,ALT3818,Confirmed Fraud
CASE279,ALT4573,Confirmed Fraud
CASE280,ALT4187,Confirmed Fraud
CASE281,ALT7041,False Positive
CASE282,ALT1118,Normal
CASE283,ALT2664,Normal
CASE284,ALT2534,Confirmed Fraud
CASE285,ALT3574,Confirmed Fraud
CASE286,ALT6141,Normal
CASE287,ALT3605,Normal
CASE288,ALT550,Confirmed Fraud
CASE289,ALT6099,Normal
CASE290,ALT970,Confirmed Fraud
CASE291,ALT7026,False Positive
CASE292,ALT2965,Normal
CASE293,ALT2110,Confirmed Fraud
CASE294,ALT2087,Normal
CASE295,ALT2091,Normal
CASE296,ALT7941,Normal
CASE297,ALT6326,Normal
CASE298,ALT5627,Confirmed Fraud
CASE299,ALT5340,False Negative
CASE300,ALT4730,False Negative
CASE301,ALT4590,Confirmed Fraud
CASE302,ALT7947,Confirmed Fraud
CASE303,ALT2319,Normal
CASE304,ALT2095,Confirmed Fraud
CASE305,ALT5501,Confirmed Fraud
CASE306,ALT7552,Normal
CASE307,ALT6645,Confirmed Fraud
CASE308,ALT7759,Confirmed Fraud
CASE309,ALT525,Confirmed Fraud
CASE310,ALT3151,False Negative
CASE311,ALT1444,Confirmed Fraud
CASE312,ALT2347,Confirmed Fraud
CASE313,ALT2315,Normal
CASE314,ALT6149,Confirmed Fraud
CASE315,ALT1057,Normal
CASE316,ALT13,Normal
CASE317,ALT4502,Normal
CASE318,ALT452,Monitoring
CASE319,ALT5687,Confirmed Fraud
CASE320,ALT6913,Normal
CASE321,ALT861,Confirmed Fraud
CASE322,ALT5513,Confirmed Fraud
CASE323,ALT482,Confirmed Fraud
CASE324,ALT429,Confirmed Fraud
CASE325,ALT4084,Confirmed Fraud
CASE326,ALT1683,Normal
CASE327,ALT1426,Confirmed Fraud
CASE328,ALT6772,Confirmed Fraud
CASE329,ALT904,Normal
CASE330,ALT5940,Confirmed Fraud
CASE331,ALT3012,Normal
CASE332,ALT3920,False Negative
CASE333,ALT5144,False Negative
CASE334,ALT7350,Monitoring
CASE335,ALT3342,Confirmed Fraud
CASE336,ALT6522,Monitoring
CASE337,ALT4543,Confirmed Fraud
CASE338,ALT4067,False Negative
CASE339,ALT6938,Confirmed Fraud
CASE340,ALT6727,Confirmed Fraud
CASE341,ALT237,Normal
CASE342,ALT3754,Confirmed Fraud
CASE343,ALT1487,Normal
CASE344,ALT5312,False Positive
CASE345,ALT218,Normal
CASE346,ALT7879,Normal
CASE347,ALT2019,Monitoring
CASE348,ALT3946,Confirmed Fraud
CASE349,ALT6922,False Negative
CASE350,ALT6967,Monitoring
CASE351,ALT4802,Normal
CASE352,ALT1056,Confirmed Fraud
CASE353,ALT1273,Normal
CASE354,ALT3288,Confirmed Fraud
CASE355,ALT2441,Confirmed Fraud
CASE356,ALT3574,Confirmed Fraud
CASE357,ALT5667,Confirmed Fraud
CASE358,ALT2192,Confirmed Fraud
CASE359,ALT497,Monitoring
CASE360,ALT3522,False Negative
CASE361,ALT62,Monitoring
CASE362,ALT7042,Confirmed Fraud
CASE363,ALT5435,Monitoring
CASE364,ALT5382,Confirmed Fraud
CASE365,ALT4111,Confirmed Fraud
CASE366,ALT1388,Confirmed Fraud
CASE367,ALT2501,Confirmed Fraud
CASE368,ALT447,Confirmed Fraud
CASE369,ALT4792,Confirmed Fraud
CASE370,ALT855,Normal
CASE371,ALT120,Confirmed Fraud
CASE372,ALT6688,Confirmed Fraud
CASE373,ALT1705,False Positive
CASE374,ALT1567,False Negative
CASE375,ALT1215,Confirmed Fraud
CASE376,ALT4492,False Negative
CASE377,ALT6171,Confirmed Fraud
CASE378,ALT6600,Normal
CASE379,ALT5106,False Negative
CASE380,ALT3260,False Positive
CASE381,ALT3806,Normal
CASE382,ALT2281,Confirmed Fraud
CASE383,ALT5154,Normal
CASE384,ALT1233,Monitoring
CASE385,ALT3201,Monitoring
CASE386,ALT5008,Confirmed Fraud
CASE387,ALT2703,Confirmed Fraud
CASE388,ALT1730,Confirmed Fraud
CASE389,ALT486,Confirmed Fraud
CASE390,ALT3211,Confirmed Fraud
CASE391,ALT2770,Normal
CASE392,ALT918,Confirmed Fraud
CASE393,ALT6843,Confirmed Fraud
CASE394,ALT1418,Normal
CASE395,ALT4971,Normal
CASE396,ALT3195,Confirmed Fraud
CASE397,ALT2805,False Negative
CASE398,ALT962,Normal
CASE399,ALT2012,Normal
CASE400,ALT4628,Monitoring
CASE401,ALT4753,False Positive
CASE402,ALT4597,Normal
CASE403,ALT3946,Confirmed Fraud
CASE404,ALT4454,Confirmed Fraud
CASE405,ALT482,Confirmed Fraud
CASE406,ALT1968,Confirmed Fraud
CASE407,ALT2508,Confirmed Fraud
CASE408,ALT2282,Confirmed Fraud
CASE409,ALT4495,Confirmed Fraud
CASE410,ALT957,Confirmed Fraud
CASE411,ALT4630,Confirmed Fraud
CASE412,ALT3998,Confirmed Fraud
CASE413,ALT3814,Confirmed Fraud
CASE414,ALT5738,Confirmed Fraud
CASE415,ALT250,Normal
CASE416,ALT4681,Confirmed Fraud
CASE417,ALT1626,Monitoring
CASE418,ALT2822,Confirmed Fraud
CASE419,ALT5081,Normal
CASE420,ALT3678,Normal
CASE421,ALT3735,Confirmed Fraud
CASE422,ALT3797,Confirmed Fraud
CASE423,ALT1670,Confirmed Fraud
CASE424,ALT4704,Normal
CASE425,ALT5122,Monitoring
CASE426,ALT1553,Confirmed Fraud
CASE427,ALT605,Confirmed Fraud
CASE428,ALT7582,Monitoring
CASE429,ALT2731,Normal
CASE430,ALT4532,Monitoring
CASE431,ALT7061,Confirmed Fraud
CASE432,ALT5312,Normal
CASE433,ALT643,Normal
CASE434,ALT1611,Confirmed Fraud
CASE435,ALT5094,Confirmed Fraud
CASE436,ALT3546,Confirmed Fraud
CASE437,ALT1265,Normal
CASE438,ALT80,Normal
CASE439,ALT80,Normal
CASE440,ALT4003,False Negative
CASE441,ALT7690,Confirmed Fraud
CASE442,ALT4886,Confirmed Fraud
CASE443,ALT6172,Confirmed Fraud
CASE444,ALT5472,False Positive
CASE445,ALT465,Confirmed Fraud
CASE446,ALT4770,Confirmed Fraud
CASE447,ALT6502,Normal
CASE448,ALT25,Confirmed Fraud
CASE449,ALT3601,Confirmed Fraud
CASE450,ALT5181,False Positive
CASE451,ALT846,Monitoring
CASE452,ALT797,Confirmed Fraud
CASE453,ALT1992,False Negative
CASE454,ALT922,Normal
CASE455,ALT7821,Normal
CASE456,ALT5873,Normal
CASE457,ALT1011,Confirmed Fraud
CASE458,ALT4283,Confirmed Fraud
CASE459,ALT5081,Normal
CASE460,ALT7720,Monitoring
CASE461,ALT6731,Normal
CASE462,ALT2296,Normal
CASE463,ALT2019,Confirmed Fraud
CASE464,ALT2718,Normal
CASE465,ALT4100,Confirmed Fraud
CASE466,ALT2111,Monitoring
CASE467,ALT6450,False Negative
CASE468,ALT2601,Confirmed Fraud
CASE469,ALT7801,Confirmed Fraud
CASE470,ALT2619,Confirmed Fraud
CASE471,ALT196,Normal
CASE472,ALT7068,Normal
CASE473,ALT4152,Confirmed Fraud
CASE474,ALT3081,False Positive
CASE475,ALT5949,Normal
CASE476,ALT3193,Monitoring
CASE477,ALT6543,Confirmed Fraud
CASE478,ALT7849,Confirmed Fraud
CASE479,ALT3606,Confirmed Fraud
CASE480,ALT907,Confirmed Fraud
CASE481,ALT4682,Monitoring
CASE482,ALT3727,Monitoring
CASE483,ALT5312,Confirmed Fraud
CASE484,ALT626,Normal
CASE485,ALT4957,Confirmed Fraud
CASE486,ALT6535,Normal
CASE487,ALT3358,Confirmed Fraud
CASE488,ALT2117,Normal
CASE489,ALT1624,Confirmed Fraud
CASE490,ALT1208,Confirmed Fraud
CASE491,ALT7906,Confirmed Fraud
CASE492,ALT5930,Confirmed Fraud
CASE493,ALT2573,False Negative
CASE494,ALT354,Confirmed Fraud
CASE495,ALT1645,Confirmed Fraud
CASE496,ALT3067,Confirmed Fraud
CASE497,ALT1981,Confirmed Fraud
